SampleID	Name	RND	Dataset	SampleNumber	Station	Month	Rep	Year	Region
A1-A2-4971	A2	1	PantCol	2	400	December	2	2021	Antarctica
A10-A14-4971	A14	1	PantCol	14	600	December	14	2021	Antarctica
A11-A15-4971	A15	1	PantCol	15	600	December	15	2021	Antarctica
A12-A20-4971	A20	1	PantCol	20	400	December	20	2021	Antarctica
A2-A5-4971	A5	1	PantCol	5	400	December	5	2021	Antarctica
A3-A6-4971	A6	1	PantCol	6	400	December	6	2021	Antarctica
A4-A8-4971	A8	1	PantCol	8	600	December	8	2021	Antarctica
A5-A9-4971	A9	1	PantCol	9	600	December	9	2021	Antarctica
A6-A10-4971	A10	1	PantCol	10	600	December	10	2021	Antarctica
A7-A11-4971	A11	1	PantCol	11	600	December	11	2021	Antarctica
A8-A12-4971	A12	1	PantCol	12	600	December	12	2021	Antarctica
A9-A13-4971	A13	1	PantCol	13	600	December	13	2021	Antarctica
B1-A21-4971	A21	1	PantCol	21	400	December	21	2021	Antarctica
B10-A30-4971	A30	1	PantCol	30	600	December	30	2021	Antarctica
B11-A31-4971	A31	1	PantCol	31	600	December	31	2021	Antarctica
B12-A32-4971	A32	1	PantCol	32	600	December	32	2021	Antarctica
B2-A22-4971	A22	1	PantCol	22	400	December	22	2021	Antarctica
B3-A23-4971	A23	1	PantCol	23	400	December	23	2021	Antarctica
B4-A24-4971	A24	1	PantCol	24	400	December	24	2021	Antarctica
B5-A25-4971	A25	1	PantCol	25	400	December	25	2021	Antarctica
B6-A26-4971	A26	1	PantCol	26	400	December	26	2021	Antarctica
B7-A27-4971	A27	1	PantCol	27	400	December	27	2021	Antarctica
B8-A28-4971	A28	1	PantCol	28	600	December	28	2021	Antarctica
B9-A29-4971	A29	1	PantCol	29	600	December	29	2021	Antarctica
C1-A33-4971	A33	1	PantCol	33	600	December	33	2021	Antarctica
C10-Po7-4971	Po7	1	PouchCol	7	F29	February	7	2021	ProvinceTown
C11-Po8-4971	Po8	1	PouchCol	8	F29	March	8	2021	ProvinceTown
C12-Po9-4971	Po9	1	PouchCol	9	F29	April	9	2021	ProvinceTown
C2-A34-4971	A34	1	PantCol	34	600	December	34	2021	Antarctica
C3-A35-4971	A35	1	PantCol	35	600	December	35	2021	Antarctica
