Date,Time,Event,Stn,CTD,Lat,Long,Depth,Bottle,Sample_ID,Vol,Notes,Study,filter_type
11/22/21,1045,6,831.-002,2,-63.575,-60.7,0,21,1,3,,Grid,durapore
11/22/21,1045,6,831.-002,2,-63.575,-60.7,45,15,2,3,,Grid,durapore
11/22/21,1045,6,831.-002,2,-63.575,-60.7,45,15,3,3,,Grid,durapore
11/22/21,1045,6,831.-002,2,-63.575,-60.7,0,21,4,3,,Grid,durapore
11/22/21,1630,16,806.048,3,-63.471,-61.785,50,17,5,3,,Grid,durapore
11/22/21,1630,16,806.048,3,-63.471,-61.785,50,17,6,3,,Grid,durapore
11/22/21,1630,16,806.048,3,-63.471,-61.785,0,21,7,3,,Grid,durapore
11/22/21,1630,16,806.048,3,-63.471,-61.785,0,21,8,3,,Grid,durapore
11/23/21,330,25,747.068,4,-63.768,-62.86,65,13,9,3,,Grid,durapore
11/23/21,330,25,747.068,4,-63.768,-62.86,65,13,10,3,,Grid,durapore
11/23/21,330,25,747.068,4,-63.768,-62.86,0,21,11,3,,Grid,durapore
11/23/21,330,25,747.068,4,-63.768,-62.86,0,21,12,3,,Grid,durapore
11/23/21,1205,35,692.08,5,-64.081,-63.772,35,15,13,3,,Grid,durapore
11/23/21,1205,35,692.08,5,-64.081,-63.772,0,21,14,3,,Grid,durapore
11/23/21,1205,35,692.08,5,-64.081,-63.772,0,15,15,3,,Grid,durapore
11/23/21,1205,35,692.08,5,-64.081,-63.772,35,21,16,3,,Grid,durapore
11/25/21,144,49,600.04,8,-64.933,-64.402,0,21,17,3,,Grid,durapore
11/25/21,144,49,600.04,8,-64.933,-64.402,15,17,18,3,,Grid,durapore
11/25/21,144,49,600.04,8,-64.933,-64.402,0,21,19,3,,Grid,durapore
11/25/21,144,49,600.04,8,-64.933,-64.402,15,17,20,3,,Grid,durapore
11/25/21,1740,62,600.1,10,-64.574,-65.349,20,17,21,3,,Grid,durapore
11/25/21,1740,62,600.1,10,-64.574,-65.349,0,20,22,3,,Grid,durapore
11/25/21,1740,62,600.1,10,-64.574,-65.349,20,17,23,3,,Grid,durapore
11/25/21,1740,62,600.1,10,-64.574,-65.349,0,20,24,3,,Grid,durapore
11/26/21,206,70,600.2,11,-63.965,-66.855,40,15,25,3,,Grid,durapore
11/26/21,206,70,600.2,11,-63.965,-66.855,0,21,26,2.15,too much biomass,Grid,durapore
11/26/21,206,70,600.2,11,-63.965,-66.855,0,21,27,2.33,too much biomass,Grid,durapore
11/26/21,206,70,600.2,11,-63.965,-66.855,40,15,28,3,,Grid,durapore
11/26/21,2000,80,500.2,12,-64.606,-68.286,0,21,29,3,,Grid,durapore
11/26/21,2000,80,500.2,12,-64.606,-68.286,30,15,30,3,,Grid,durapore
11/26/21,2000,80,500.2,12,-64.606,-68.286,0,21,31,3,,Grid,durapore
11/26/21,2000,80,500.2,12,-64.606,-68.286,30,15,32,3,,Grid,durapore
11/27/21,116,88,500.8,13,-65.233,-66.774,0,21,33,3,,Grid,durapore
11/27/21,116,88,500.8,13,-65.233,-66.774,0,21,34,3,fell to bottom of liquid nitrogen tank,Grid,durapore
11/27/21,116,88,500.8,13,-65.233,-66.774,25,15,35,3,,Grid,durapore
11/27/21,116,88,500.8,13,-65.233,-66.774,25,15,36,3,,Grid,durapore
11/27/21,815,94,500.06,14,-65.479,-66.149,30,15,37,3,suspiciously fast,Grid,durapore
11/27/21,815,94,500.06,14,-65.479,-66.149,0,21,38,3,,Grid,durapore
11/27/21,815,94,500.06,14,-65.479,-66.149,30,15,39,3,,Grid,durapore
11/27/21,815,94,500.06,14,-65.479,-66.149,0,21,40,3,,Grid,durapore
