Sample,Date,start_time,end_time,start_lat_deg,start_lat_min,start_long_deg,start_long_min,lat_end,long_end,vol_start,vol_end,start_lat_degdec,start_long_degdec
1,11/21/21,8:51 PM,11:53 PM,-60,34.534,-63,34.4545,-60 41.597,-60 43.5409,282,301,-60.57556667,-63.57424167
2,11/21/21,4:23 PM,6:40 PM,-63,28.2637,-63,27.8858,-61 47.1279,-61 45.9608,301.3,330.9,-63.47106167,-63.46476333
3,11/22/21,2:54 AM,6:40 AM,-63,46.0513,-63,46.0735,-62 51.6559,-62 51.5911,330.9,410,-63.76752167,-63.76789167
4,11/23/21,11:44 PM,1:23 AM,-64,4.441,-63,45.945,-64 3.611,-63 48.941,410.7,442.9,-64.07401667,-63.76575
5,11/24/21,6:23 AM,7:57 AM,-64,34.664,-64,40.543,-64 35.161,-64 20.468,442.9,468.1,-64.57773333,-64.67571667
6,11/25/21,5:17 AM,6:36 AM,-64,55.9914,-64,24.0637,-64 50.269,-64 6.746,468.1,495.6,-64.93319,-64.40106167
7,11/25/21,9:48 PM,11:10 PM,-64,24.7865,-65,45.2348,-64 15.972,-66 07.4313,495.6,512.8,-64.41310833,-65.75391333
8,11/25/21,11:25 PM,12:40 AM,-64,14.4278,-66,11.18,-64 06.1702,-66 31.4780,512.8,527.5,-64.24046333,-66.18633333
9,11/26/21,12:54 AM,1:52 AM,-64,4.5634,-66,35.4555,-63 58.4756,-66 50.0926,527.5,538.1,-64.07605667,-66.590925
10,11/26/21,7:15 AM,8:20 AM,-63,56.5,-66,51.52,-64 5.398,-67 7.608,538.1,545,-63.94166667,-66.85866667
11,11/26/21,9:04 AM,11:25 AM,-64,6.529,-67,10.8,-64 9.18,-67 15.77,545,563,-64.10881667,-67.18
12,11/26/21,11:38 AM,12:37 PM,-64,10.625,-67,19.652,-64 17.645,-67 35.268,563,570.3,-64.17708333,-67.32753333
13,11/26/21,12:52 PM,3:10 PM,-64,19.541,-67,39.128,-64 35.884,-68 16.120,570.3,585,-64.32568333,-67.65213333
14,11/27/21,12:16 AM,1:49 AM,-65,8.468,-67,0.4536,-65 13.9906,-66 46.5056,585,596.9,-65.14113333,-67.00756
15,11/27/21,4:37 AM,6:19 AM,-65,14.734,-66,41.4194,-65 22.603,-66 24.8611,597,609.8,-65.24556667,-66.69032333
16,11/27/21,6:30 AM,7:49 AM,-65,23.4201,-66,22.8163,-65 28.724,-66 8.879,609.8,619.6,-65.390335,-66.38027167
17,11/27/21,11:36 AM,12:46 PM,-65,33.4424,-66,16.5619,-65 38.7108,-66 46.17,619.6,628.8,-65.55737333,-66.27603167
18,11/28/21,1:45 AM,2:44 AM,-65,50.9875,-68,24.9701,-65 43.9233,-68 38.27,628.8,641.7,-65.84979167,-68.41616833
19,11/28/21,2:57 AM,3:49 AM,-65,42.2269,-68,42.479,-65 35.5119,-68 58.6290,641.7,648.5,-65.70378167,-68.70798333
