Feature ID,Taxon,Confidence
10e689117b8c04916795ce7cbd9c0ff1,Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae,1
2a57d6bdb6e72763b930bc8541ba9d09,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyceae; Bacillariales; Bacillariales_X; Bacillariaceae,0.993300508
3d073f8e6476d08e7f3488fa16086ad2,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae,0.745583326
a403438c74a6c41fb875b33467b0e553,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae; Thalassiosirales; Thalassiosirales_X,0.952834379
74e9100269794c25e635e2a189114ef9,Eukaryota,1
954f08d161a9367d9ac701ac54acf9fe,Eukaryota,1
8ee2658ac7dd8e0f20d396c3d3e1a539,Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellophyceae_X; Mamiellales; Mamiellales_X; Mamiellales_XX; Mamiellales_XXX; Mamiellales_XXX sp.,0.999998173
356bdad81c5c0fca58f4b1b780aa6287,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999996311
09eaf7fe3966114283975949c0c78915,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999632193
6c1096cb4d53196f3b70850af15c7b35,Eukaryota; Archaeplastida; Streptophyta; Embryophyceae,0.813857211
401cdadfe0e3dc8492ec908f86b3b211,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae,0.997099319
715318dadbd602bb7863947527c67e3e,Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellophyceae_X; Mamiellales; Mamiellales_X; Mamiellales_XX; Mamiellales_XXX; Mamiellales_XXX sp.,0.999686274
b37fea21aa34e0ee268ab559bd4ef94a,Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellophyceae_X; Mamiellales; Mamiellales_X; Mamiellales_XX; Mamiellales_XXX; Mamiellales_XXX sp.,0.999999991
d2f9f31aa39785b14412205260592c22,Eukaryota; Archaeplastida,0.828236268
7fabde22601eaa64017ed6eca1aaa69c,Eukaryota,1
d222b8cfd8a7931a7342d9a8d6f94afe,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae; Corethrales; Corethrales_X; Corethraceae; Corethron; Corethron pennatum,0.999432047
90fd832464c5fbc417533484304f566f,Eukaryota,1
123d147d20819584ac4583c6861f961d,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pseudoscourfieldiales; Pseudoscourfieldiales_X; Pycnococcaceae; Pseudoscourfieldia; Pseudoscourfieldia sp.,0.999950506
fff1cef3f0ce5c841d0e53e6845dc3cd,Eukaryota; Archaeplastida; Chlorophyta; Prasinophyceae; Prasinophyceae_X; Pyramimonadales; Pyramimonadales_X; Pyramimonadaceae; Pyramimonadaceae_X; Pyramimonadaceae_X sp.,0.741301439
18e054d24fcedd134c83c82b0673ab2e,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyceae,0.709440814
c6c84e43c3cc4143b73067afaa663371,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae; Coscinodiscophyceae_X; Coscinodiscophyceae_XX; Coscinodiscophyceae_XXX; Coscinodiscophyceae_XXXX; Coscinodiscophyceae_XXXX sp.,0.808337301
